plant,district,date,year,month,pipe_bursts,elevated,elevated_next,predicted,split
SBRG TEMERLOH,TEMERLOH,2024-02-01,2024,2,1,0,0,0.37396639988653196,train
SBRG TEMERLOH,TEMERLOH,2024-03-01,2024,3,1,0,1,0.6366851069495795,train
SBRG TEMERLOH,TEMERLOH,2024-04-01,2024,4,2,1,1,0.6704384771721577,train
SBRG TEMERLOH,TEMERLOH,2024-05-01,2024,5,2,1,1,0.653035486591327,train
SBRG TEMERLOH,TEMERLOH,2024-06-01,2024,6,2,1,1,0.7083318142178686,train
SBRG TEMERLOH,TEMERLOH,2024-07-01,2024,7,2,1,1,0.7375002589110352,train
SBRG TEMERLOH,TEMERLOH,2024-08-01,2024,8,2,1,1,0.7001357194421195,train
SBRG TEMERLOH,TEMERLOH,2024-09-01,2024,9,2,1,1,0.7107215105118992,train
SBRG TEMERLOH,TEMERLOH,2024-10-01,2024,10,2,1,1,0.6472296594981047,train
SBRG TEMERLOH,TEMERLOH,2024-11-01,2024,11,2,1,0,0.3557855175734888,train
SBRG TEMERLOH,TEMERLOH,2024-12-01,2024,12,1,0,0,0.3100750365081997,train
SBRG TEMERLOH,TEMERLOH,2025-01-01,2025,1,1,0,0,0.43786161280918806,train
SBRG TEMERLOH,TEMERLOH,2025-02-01,2025,2,1,0,0,0.399212761753942,train
SBRG TEMERLOH,TEMERLOH,2025-03-01,2025,3,1,0,0,0.4143474390389173,train
SBRG TEMERLOH,TEMERLOH,2025-04-01,2025,4,1,0,0,0.42216529764480076,train
SBRG TEMERLOH,TEMERLOH,2025-05-01,2025,5,1,0,1,0.5890655742987027,train
SBRG TEMERLOH,TEMERLOH,2025-06-01,2025,6,2,1,0,0.6043340934518097,test
SBRG TEMERLOH,TEMERLOH,2025-07-01,2025,7,1,0,0,0.5438491742706852,test
SBRG TEMERLOH,TEMERLOH,2025-08-01,2025,8,1,0,1,0.5757177997786329,test
SBRG TEMERLOH,TEMERLOH,2025-09-01,2025,9,2,1,0,0.6316997552368452,test
SBRG TEMERLOH,TEMERLOH,2025-10-01,2025,10,1,0,1,0.4833655495035962,test
SBRG TEMERLOH,TEMERLOH,2025-11-01,2025,11,2,1,1,0.40053659056063223,test
SEBERANG TEMBELING,JERANTUT,2023-01-01,2023,1,1,0,0,0.12935701858014334,train
SEBERANG TEMBELING,JERANTUT,2023-02-01,2023,2,1,0,0,0.09564701530269654,train
SEBERANG TEMBELING,JERANTUT,2023-03-01,2023,3,1,0,0,0.06879154892873508,train
SEBERANG TEMBELING,JERANTUT,2023-04-01,2023,4,1,0,0,0.061087307517357955,train
SEBERANG TEMBELING,JERANTUT,2023-05-01,2023,5,1,0,0,0.05605681884643301,train
SEBERANG TEMBELING,JERANTUT,2023-06-01,2023,6,1,0,0,0.09049995586407704,train
SEBERANG TEMBELING,JERANTUT,2023-07-01,2023,7,0,0,0,0.04999374319606349,train
SEBERANG TEMBELING,JERANTUT,2023-08-01,2023,8,1,0,1,0.23801032718422022,train
SEBERANG TEMBELING,JERANTUT,2023-09-01,2023,9,2,1,0,0.09885403391973636,train
SEBERANG TEMBELING,JERANTUT,2023-10-01,2023,10,1,0,0,0.10991742326379836,train
SEBERANG TEMBELING,JERANTUT,2023-11-01,2023,11,1,0,0,0.09113516032829543,train
SEBERANG TEMBELING,JERANTUT,2023-12-01,2023,12,1,0,1,0.24112479343911464,train
SEBERANG TEMBELING,JERANTUT,2024-01-01,2024,1,2,1,0,0.10992418231913756,train
SEBERANG TEMBELING,JERANTUT,2024-02-01,2024,2,1,0,0,0.12127089459588668,train
SEBERANG TEMBELING,JERANTUT,2024-03-01,2024,3,1,0,0,0.06418519542282604,train
SEBERANG TEMBELING,JERANTUT,2024-04-01,2024,4,1,0,0,0.06785167677167712,train
SEBERANG TEMBELING,JERANTUT,2024-05-01,2024,5,0,0,0,0.12556283353513323,train
SEBERANG TEMBELING,JERANTUT,2024-06-01,2024,6,1,0,0,0.09458605271932258,train
SEBERANG TEMBELING,JERANTUT,2024-07-01,2024,7,0,0,0,0.0953607926137691,train
SEBERANG TEMBELING,JERANTUT,2024-08-01,2024,8,1,0,0,0.0755093586129299,train
SEBERANG TEMBELING,JERANTUT,2024-09-01,2024,9,1,0,0,0.05558621974717275,train
SEBERANG TEMBELING,JERANTUT,2024-10-01,2024,10,0,0,0,0.1018475588832474,train
SEBERANG TEMBELING,JERANTUT,2024-11-01,2024,11,1,0,0,0.06519077094266214,train
SEBERANG TEMBELING,JERANTUT,2024-12-01,2024,12,1,0,0,0.04035703343681116,train
SEBERANG TEMBELING,JERANTUT,2025-01-01,2025,1,1,0,0,0.0502683276662872,train
SEBERANG TEMBELING,JERANTUT,2025-02-01,2025,2,1,0,0,0.0996502505898042,train
SEBERANG TEMBELING,JERANTUT,2025-03-01,2025,3,0,0,0,0.1346188188012551,train
SEBERANG TEMBELING,JERANTUT,2025-04-01,2025,4,1,0,0,0.04571809781681569,train
SEBERANG TEMBELING,JERANTUT,2025-05-01,2025,5,1,0,0,0.04948792786603225,train
SEBERANG TEMBELING,JERANTUT,2025-06-01,2025,6,1,0,0,0.08299737804524449,test
SEBERANG TEMBELING,JERANTUT,2025-07-01,2025,7,1,0,0,0.05727829136610599,test
SEBERANG TEMBELING,JERANTUT,2025-08-01,2025,8,1,0,0,0.14953126841478995,test
